,date
1085,2013-10-02
1086,2014-10-02
1089,2013-10-03
1090,2014-10-03
1093,2013-10-04
1094,2014-10-04
1097,2013-10-05
1098,2014-10-05
1101,2013-10-06
1102,2014-10-06
1105,2013-10-07
1106,2014-10-07
1109,2013-10-08
1110,2014-10-08
1113,2013-10-09
1114,2014-10-09
1117,2013-10-10
1118,2014-10-10
1121,2013-10-11
1124,2013-10-12
1127,2013-10-13
1128,2014-10-13
1131,2013-10-14
1132,2014-10-14
1135,2013-10-15
1136,2014-10-15
1139,2013-10-16
1140,2014-10-16
1143,2013-10-17
1144,2014-10-17
1147,2013-10-18
1148,2014-10-18
1151,2013-10-19
1152,2014-10-19
1155,2013-10-20
1156,2014-10-20
1159,2013-10-21
1160,2014-10-21
1163,2013-10-22
1164,2014-10-22
1167,2013-10-23
1168,2014-10-23
1171,2013-10-24
1172,2014-10-24
1175,2013-10-25
1176,2014-10-25
1179,2013-10-26
1180,2014-10-26
1183,2013-10-27
1184,2014-10-27
1187,2013-10-28
1188,2014-10-28
1191,2013-10-29
1192,2014-10-29
1195,2013-10-30
1196,2014-10-30
1199,2013-10-31
1200,2014-10-31
1203,2013-11-01
1204,2014-11-01
1207,2013-11-02
1208,2014-11-02
1211,2013-11-03
1212,2014-11-03
1215,2013-11-04
1216,2014-11-04
1219,2013-11-05
1220,2014-11-05
1223,2013-11-06
1224,2014-11-06
1227,2013-11-07
1228,2014-11-07
1231,2014-11-08
1234,2013-11-09
1235,2014-11-09
1238,2013-11-10
1239,2014-11-10
1242,2013-11-11
1243,2014-11-11
1246,2013-11-12
1247,2014-11-12
1250,2013-11-13
1251,2014-11-13
1254,2013-11-14
1255,2014-11-14
1258,2013-11-15
1259,2014-11-15
1262,2013-11-16
1263,2014-11-16
1266,2013-11-17
1267,2014-11-17
1270,2013-11-18
1271,2014-11-18
1274,2013-11-19
1275,2014-11-19
1278,2013-11-20
1279,2014-11-20
1282,2013-11-21
1283,2014-11-21
1286,2013-11-22
1287,2014-11-22
1290,2013-11-23
1291,2014-11-23
1294,2013-11-24
1295,2014-11-24
1298,2013-11-25
1299,2014-11-25
1302,2013-11-26
1303,2014-11-26
1306,2013-11-27
1307,2014-11-27
1310,2013-11-28
1311,2014-11-28
1314,2013-11-29
1315,2014-11-29
1318,2013-11-30
1319,2014-11-30
1322,2013-12-01
1323,2014-12-01
1326,2013-12-02
1327,2014-12-02
1330,2013-12-03
1331,2014-12-03
1334,2013-12-04
1335,2014-12-04
1338,2013-12-05
1339,2014-12-05
1342,2013-12-06
1343,2014-12-06
1346,2013-12-07
1347,2014-12-07
1350,2013-12-08
1351,2014-12-08
1354,2013-12-09
1355,2014-12-09
1358,2013-12-10
1359,2014-12-10
1362,2013-12-11
1363,2014-12-11
1366,2013-12-12
1367,2014-12-12
1370,2013-12-13
1371,2014-12-13
1374,2013-12-14
1375,2014-12-14
1378,2014-12-15
1381,2014-12-16
1384,2014-12-17
1389,2013-12-19
1392,2013-12-20
1395,2013-12-21
1398,2013-12-22
1401,2013-12-23
1404,2013-12-24
1407,2013-12-25
1410,2013-12-26
1413,2013-12-27
1420,2013-12-30
1423,2013-12-31
1424,2014-12-31
